Street,Postal Code,City,Latitude,Longitude
Reuterstraße 115,25436,Uetersen,53.6926235,9.6544977
An Pater und Nonne 3A,58642,Iserlohn,51.36524204,7.62058969
Teschenstraße 1,02977,Hoyerswerda,51.44023106,14.24712554
Ulsterstraße 6,36269,Philippsthal (Werra),50.83857,9.98963
Luetemannskamp 4,49838,Lengerich,52.55229378,7.53242827
Friedensstraße 8,02991,Lauta,51.44118267,14.10011008
Catharina-Müller-Straße 6,48149,Münster,51.97235481,7.61116241
Wiebeke-Kruse-Straße 5-7,25348,Glückstadt,53.79874666,9.43491984
Nordmeerstraße 100,23570,Lübeck,53.96303216,10.86055289
Emmerkertorstraße 28,34434,Borgentreich,51.575309,9.242948
Engelsbyer Str. 33,24943,Flensburg,54.79397548,9.47003511
Büssingstraße 1,38176,Wendeburg,52.3204726,10.3968216
Alverskirchener Straße 24,48351,Everswinkel,51.9240847,7.8396003
Limberger Straße 1,03044,Cottbus,51.78147171,14.31800658
Im Brink 8,26835,Hesel,53.299644,7.5935906
Gerichtstraße 2-3,13347,Berlin,52.5425014,13.3781087
Hauptstraße 15-19,57482,Wenden,50.9705628,7.8663597
Resser Straße 29,44653,Herne,51.5490198,7.1487976
Gerberstraße 1,25436,Uetersen,53.68076548,9.67150619
Vietmannsdorfer Straße 2,17268,Templin,53.1164552,13.49963251
Erlenring 9,35037,Marburg,50.80731506,8.77707304
Badstraße 2a,09669,Frankenberg,50.91288093,13.04399374
Tom-Mutters-Straße 9,35041,Marburg,50.8424782,8.7656605
Friesische Str. 156,24937,Flensburg,54.77897993,9.4154985
Dieselstraße 4,23738,Lensahn,54.21858624,10.89853895
Königstraße 56-57,14109,Berlin,52.4187553,13.1574867
Günnigfelder Straße 56-58,44866,Bochum,51.4955237,7.1458251
Galenstraße 35,13597,Berlin,52.5395818,13.197133
An der B 255 3,35756,Mittenaar,50.6981,8.4063034
Dratelnstraße 23-25,21109,Hamburg,53.5006612,9.9999308
Max-Liebermann-Straße 19F,04157,Leipzig,51.37558605,12.35986115
Waltgeristraße 93,32049,Herford,52.12676,8.68366
Carl-Schmäcke-Straße 29,15366,Neuenhagen,52.53520211557342,13.697029999475108
Franz-Julius-Hoeltz-Straße 3,06618,Naumburg (Saale),51.1487591,11.8241148
Am Ruthenstrom 2,25746,Wesseln,54.2077393,9.0859035
Karl-Marx-Straße 92-96,03172,Guben,51.95623356,14.7039429
Am Kreuzberg 69,08064,Zwickau,50.67302249,12.46410988
Zum Torfmoor 13,21423,Winsen,53.35196108,10.22136297
Wolfhager Straße 274,34130,Kassel,51.3318114,9.4559983
Max-Planck-Straße 1-7,25541,Brunsbüttel,53.89977788,9.125031
Am Stadtpark 24,26871,Papenburg,53.08095453,7.3899524
Weserstraße 80,26919,Brake (Unterweser),53.3329252,8.4598434
Bucher Weg 2,16356,Ahrensfelde,52.6051017,13.5246326
Grootkoppel 5-7,23566,Lübeck,53.8711877,10.7447079
Saarbrücker Straße 1,06188,Landsberg,51.512674,12.052029
Stendaler Straße 89,39638,Gardelegen,52.52934166,11.41130993
Hans-Koch-Ring 4,21493,Schwarzenbek,53.5134201,10.49496
Pritzwalker Straße 46 b,16866,Kyritz,52.9532584,12.3987554
Am Galgenberg 1,21769,Lamstedt,53.624838,9.0900287
Prager Platz 1-3,10779,Berlin,52.49342969,13.33238719
Schloßstraße 4-5,12163,Berlin,52.46401428,13.32669759
Knippers Kohlenhof 3,49751,Sögel,52.83883802,7.52176599
Zepernicker Straße 10,13125,Berlin,52.64054701,13.51463172
Zwischen den Kreiseln 10,21039,Börnsen,53.4865517,10.2886513
Luruper Hauptstraße 79,22547,Hamburg,53.5866336,9.87771602
Bohmter Straße 64,49074,Osnabrück,52.28087917,8.06652259
Am Busbahnhof 1,39435,Egeln,51.9439842,11.4286494
Schöntaler Straße 44b,58300,Wetter (Ruhr),51.38021176,7.39196344
Lübbecker Straße 159 A,32584,Löhne-Mennighüffen,52.2199435,8.70568735
Mittelweg 105,26954,Nordenham,53.47737185,8.47092155
Theaterstraße 7,09111,Chemnitz,50.83504367,12.9194772
Bräuckenstraße 83,58511,Lüdenscheid,51.21752522,7.65380807
Johann-Specht-Straße 5 A,23701,Eutin,54.1276955,10.6222494
Kreuzgraben 5,99974,Mühlhausen,51.2119604,10.4633884
Weserstraße 17,32545,Bad Oeynhausen,52.197686,8.811301
Iltener Straße 11-15,31275,Lehrte,52.36978891,9.9729794
Erika-Najork-Straße 2,31535,Neustadt am Rübenberge,52.5129184,9.4519156
Silbersteinstraße 146,12051,Berlin,52.4654377,13.4221843
Bucher Weg 10,39164,Wanzleben-Börde,52.06344915,11.44964494
Am Sudheimer Weg 5,33034,Brakel,51.71326984,9.18083649
Ramskamp 102,25337,Elmshorn,53.74268585,9.70983381
Albrechtshäuser Weg 1-3,37191,Katlenburg,51.68114572,10.11003346
Hinter dem Südbahnhof 1,07548,Gera,50.8672727,12.0785884
Bahnhofstraße 2,23923,Herrnburg,53.8390723,10.7610821
Güstrower Straße 34,19055,Schwerin,53.64415621,11.42408711
Delitzscher Straße 61,04129,Leipzig,51.3670028,12.3852738
Salbker Chaussee 67-71,39118,Magdeburg,52.08369968,11.60133092
Grelckstraße 2,22529,Hamburg,53.59992958,9.95835982
Großhartmannsdorfer Straße 13a,09618,Brand-Erbisdorf,50.85702628,13.32053178
Leipziger Straße 82,98617,Meiningen,50.58432361,10.41285174
Große-Kurfürsten-Straße 82,33615,Bielefeld,52.0265495,8.5277745
Stahlschmidtsbrücke 15,42499,Hückeswagen,51.13593583,7.34104861
Bahnhofstraße 2,37412,Herzberg am Harz,51.64953725,10.3311091
Känerbergstraße 16,57076,Siegen,50.895058,8.0355021
Schönkirchener Straße 80 b,24149,Kiel,54.3290837,10.1984425
Caroline-Herschel-Straße 1,31228,Peine,52.3404937,10.2573797
Hansestraße 1,33689,Bielefeld,51.9514191,8.568947
