Street,Postalcode,City,Latitude,Longitude
Ulmer Str. 150,73431,Aalen,48.82852,10.11375
Carl-Zeiss-Str. 85,73431,Aalen,48.82394,10.06119
Wilhelmstr. 50,73433,Aalen,48.86223,10.10204
Hubertus-Liebrecht-Str. 40,88400,Biberach,48.11764,9.80499
Waldseer Str. 143,88400,Biberach,48.08122,9.80295
Obertürkheimer Str. 82,73733,Esslingen,48.75399,9.2747
Stauffenbergstr. 29,73730,Esslingen,48.73222,9.32387
Ignaz-Gfell-Platz 3,79868,Feldberg,47.86915,8.09602
Luzinweg 4,17258,Feldberg,53.32999,13.43494
Carl-Kistner-Str. 2,79115,Freiburg,47.99108,7.81594
Habsburger Str. 19,79104,Freiburg,48.01014,7.85475
Elsässer Str. 17,79110,Freiburg,48.01057,7.83122
Geschwister-Scholl-Platz 5,79111,Freiburg,47.99812,7.79572
Hauptstr. 5,78244,Gottmadingen,47.73642,8.7719
Stuttgarter Str. 130,73035,Göppingen,48.71062,9.62076
Großeislinger Str. 2,73037,Göppingen,48.70166,9.66426
Fritz-Frey-Str. 21,69121,Heidelberg,49.43734,8.67919
Heuauer Weg 2,69124,Heidelberg,49.37712,8.66435
Brückenstr. 47,69120,Heidelberg,49.41658,8.69189
In den Seewiesen 66,89520,Heidenheim,48.70178,10.16405
Neckarsulmer Straße 24,74076,Heilbronn,49.15245,9.2232
Urbanstr. 30,74072,Heilbronn,49.1352,9.22062
Heinrieterstr. 3,74074,Heilbronn,49.12616,9.22451
Eisenbahnstr. 8,76229,Karlsruhe,49.00512,8.50072
Neureuter Str. 8a,76185,Karlsruhe,49.01926,8.35541
Tivoliplatz 1,76137,Karlsruhe,48.99614,8.41058
Zeppelinstr. 15,76185,Karlsruhe,49.00192,8.35571
Theodor-Rehbock-Str. 4,76131,Karlsruhe,49.00916,8.4376
Kriegsstr. 236-240,76135,Karlsruhe,49.00568,8.38026
Römerstr. 90,77694,Kehl,48.51358,7.82027
Boschstr. 3,77694,Kehl,48.55064,7.83846
Max-Stromeyer-Str. 15,78467,Konstanz,47.67481,9.16459
Kreuzlingerstraße 24,78467,Konstanz,47.65717,9.17148
Leibnizstr. 3,70806,Kornwestheim,48.8679,9.19882
John-F. Kennedy-Allee 2,70806,Kornwestheim,48.87736,9.22309
Offenburger Str. 24,77933,Lahr,48.34591,7.84298
Geroldsecker Vorstadt 2,77933,Lahr,48.34108,7.88151
Heilbronner Str. 2,70771,Leinfelden-Echterdingen,48.69567,9.16792
Maybachstr. 10,70771,Leinfelden-Echterdingen,48.70083,9.14424
Höfer Äcker 3,70771,Leinfelden-Echterdingen,48.67142,9.17609
Reuteallee 23,71634,Ludwigsburg,48.90597,9.17882
Hindenburgstr. 60,71638,Ludwigsburg,48.891,9.20498
Koblenzer Str. 23,68309,Mannheim,49.50813,8.52805
Ulmenweg 47-49,68167,Mannheim,49.50542,8.48942
"Dammstr. 1,3",68169,Mannheim,49.49626,8.47042
Rheinauer Ring 95,68219,Mannheim,49.43089,8.53299
Schwetzinger Str. 148-152,68165,Mannheim,49.47545,8.48001
Lilienthalstr. 301-309,68307,Mannheim,49.54709,8.47948
Speckweg 55-59,68305,Mannheim,49.52264,8.48944
Kochendorfer Str. 44,74172,Neckarsulm,49.20354,9.23102
Hohenloher Straße 2/1,74172,Neckarsulm,49.1841,9.22658
Rastatter Str. 5,75179,Pforzheim,48.89944,8.66707
Sägewerkstr. 2,75181,Pforzheim,48.90948,8.75077
Kieselbronner Str. 24,75177,Pforzheim,48.90829,8.7173
Am Hauptgüterbahnhof 2-4,75177,Pforzheim,48.896,8.71116
Arlinger Straße 1,75179,Pforzheim,48.88724,8.66266
Wannweilerstr. 23,72770,Reutlingen,48.50057,9.17514
Emil-Adolff-Str. 15,72760,Reutlingen,48.49768,9.19979
Storlachstr. 31,72760,Reutlingen,48.50598,9.20913
An der Kreuzeiche 23,72762,Reutlingen,48.47869,9.19905
Steinbeißweg 2,74523,Schwäbisch,49.10541,9.70958
Leonberger Str. 25,71063,Sindelfingen,48.7159,9.00241
Mahdentalstraße 49,71065,Sindelfingen,48.7077,9.01865
Steinsbergstr. 5,74889,Sinsheim,49.2474,8.87646
Froschwiesenweg 1,74889,Sinsheim,49.2415,8.90518
Bottroper Str. 8a,70376,Stuttgart,48.81831,9.21312
Hofener Str. 126,70372,Stuttgart,48.81522,9.22692
Wildunger Str. 4,70372,Stuttgart,48.80089,9.22194
"Griegstr. 2, Anfahrt: Eltinger Straße 8",70195,Stuttgart,48.77859,9.12502
Heigelinstr. 4,70567,Stuttgart,48.71377,9.16484
Gerlinger Str. 96,70499,Stuttgart,48.81384,9.08692
Heiligenwiesen 35,70329,Stuttgart,48.7627,9.25292
Vaihinger Str. 115,70567,Stuttgart,48.72792,9.13819
Hauptstätter Str. 111,70178,Stuttgart,48.76746,9.17177
Pforzheimer Str. 338-342,70499,Stuttgart,48.81449,9.1172
Adestr. 30,70435,Stuttgart,48.83488,9.15741
Haslacher Weg 24,89075,Ulm,48.42998,10.01855
Wielandstr. 54,89073,Ulm,48.40612,10.00552
Wörthstr. 59,89077,Ulm,48.39243,9.97429
Schützenstr. 42,78056,Villingen-Schwenningen,48.06389,8.5425
Villinger Str. 149,78054,Villingen-Schwenningen,48.0628,8.51274
Altstadtstr. 11,78048,Villingen-Schwenningen,48.05488,8.46864
Beim Enggäßle 1,78050,Villingen-Schwenningen,48.05845,8.43625
Infanteriestraße 3,92224,Amberg,49.44511,11.84305
Barbarastr. 20,92224,Amberg,49.43414,11.87975
Hirschauer Str. 2,92224,Amberg,49.46663,11.85208
Donaustraße,86165,Augsburg,48.37665,10.93098
Pearl.-S.-Buck-Straße 10,86157,Augsburg,48.37153,10.86692
Reichenberger Straße 45,86161,Augsburg,48.36198,10.92014
Eichleitnerstr. 10,86199,Augsburg,48.3465,10.88601
Auerstr. 57 a,86156,Augsburg,48.38792,10.86891
Neuburger Str. 227,86169,Augsburg,48.39729,10.91513
Laubanger 14a,96052,Bamberg,49.91074,10.87413
Villachstr. 2,96052,Bamberg,49.90859,10.90136
Würzburger Str. 57,96049,Bamberg,49.87535,10.88458
Gaustadter Hauptstr. 109,96049,Bamberg,49.90269,10.86514
Riedingerstraße 21,95448,Bayreuth,49.95955,11.60231
Adolf-Wächter-Str. 1,95447,Bayreuth,49.93495,11.54984
Nürnberger Str. 3 a,95448,Bayreuth,49.93574,11.59183
Meranierring 49,95445,Bayreuth,49.95106,11.54699
Kanonenweg 15a,96450,Coburg,50.2675,10.96186
Ketschendorfer Str. 122,96450,Coburg,50.24237,10.97205
Keplerstr. 4,85221,Dachau,48.26127,11.47262
Neumühle 4,91056,Erlangen,49.58765,10.97655
Mönaustr. 75,91056,Erlangen,49.59506,10.95127
Dresdener Str. 21,91058,Erlangen,49.57872,10.98695
Karwendelring 3,85354,Freising,48.41192,11.74074
Clemensänger Ring 26,85356,Freising,48.37932,11.75211
Schwabacher Straße 5,90762,Fürth,49.47538,10.98985
Erbacher Str. 46,64658,Fürth,49.65416,8.78589
Siemensstr. 41,90766,Fürth,49.47916,10.96413
Erlanger Str. 192,90765,Fürth,49.49339,10.98918
Geschwister-Scholl-Str. 2,89312,Günzburg,48.44565,10.28318
Violastr. 11,89312,Günzburg,48.45109,10.26096
Permoserstraße 81,85057,Ingolstadt,48.77012,11.39515
Goethestraße 61,85055,Ingolstadt,48.77245,11.44449
Elisabethstr. 15,85051,Ingolstadt,48.74032,11.43683
Eriagstr. 3,85053,Ingolstadt,48.74758,11.46777
Lindauer Str. 106,87439,Kempten,47.71801,10.29709
Ludwigstr. 80,87437,Kempten,47.70035,10.32286
Goldhoferstr. 3,87700,Memmingen,48.0002,10.17226
Schlachthofstr. 37,87700,Memmingen,47.99291,10.18445
Georg Reismüller Str. 28,80999,München,48.19416,11.46449
Bergsonstr. 147,81245,München,48.16121,11.42527
Brunhamstr. 18,81249,München,48.14092,11.42474
Weihenstephaner Str. 32,81673,München,48.13154,11.62398
Truderinger Str. 190,81825,München,48.12794,11.65508
Freischützstr. 46,81927,München,48.16512,11.6449
Rainfarnstraße 48-52,80933,München,48.2098,11.55305
Ingolstädter Str. 170,80939,München,48.20318,11.58596
Dreimühlenstr. 42,81371,München,48.1195,11.55807
Luisenstr. 51-53,80333,München,48.14987,11.56625
Frankfurter Ring 5,80807,München,48.18753,11.56831
Knorrstr. 57,80807,München,48.18379,11.57275
Dachauer Str. 380,80993,München,48.19181,11.50243
